id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
330388,LLER,large_airport,Ramon International Airport,29.727009,35.014116,288.0,AS,IL,IL-D,Eilat,yes,LLER,ETM,,,https://en.wikipedia.org/wiki/Ramon_Airport#Airlines_and_destinations,
4417,LLHA,medium_airport,Haifa International Airport,32.80939865112305,35.04309844970703,28.0,AS,IL,IL-HA,Haifa,yes,LLHA,HFA,,http://www.iaa.gov.il/Rashat/en-US/Airports/Haifa/,https://en.wikipedia.org/wiki/Haifa_Airport,"U Michaeli Airport, RAF Haifa"
4427,LMML,large_airport,Malta International Airport,35.857498,14.4775,300.0,EU,MT,MT-25,Valletta,yes,LMML,MLA,,http://www.maltairport.com/en/home.htm,https://en.wikipedia.org/wiki/Malta_International_Airport,"Luqa Airport,Valletta,Gudja,RAF Luqa"
4430,LOWG,medium_airport,Graz Airport,46.9911,15.4396,1115.0,EU,AT,AT-6,Graz (Feldkirchen bei Graz),yes,LOWG,GRZ,,http://www.flughafen-graz.at/,https://en.wikipedia.org/wiki/Graz_Airport,"Thalerhof Airport, Fliegerhorst Nittner, Nittner Air Base"
4431,LOWI,medium_airport,Innsbruck Airport,47.260201,11.344,1907.0,EU,AT,AT-7,Innsbruck,yes,LOWI,INN,,http://www.innsbruck-airport.com/,https://en.wikipedia.org/wiki/Innsbruck_Airport,Kranebitten Airport
4435,LOWK,medium_airport,Klagenfurt Airport,46.642502,14.3377,1472.0,EU,AT,AT-2,Klagenfurt am Wörthersee,yes,LOWK,KLU,,http://www.klagenfurt-airport.com/,https://en.wikipedia.org/wiki/Klagenfurt_Airport,Kärnten Airport
4432,LOWL,medium_airport,Linz-Hörsching Airport / Vogler Air Base,48.2332,14.1875,980.0,EU,AT,AT-4,Linz,yes,LOWL,LNZ,,http://www.flughafen-linz.at/,https://en.wikipedia.org/wiki/Linz_Airport,"Blue Danube Airport, Vogler Air Base, Fliegerhorst Vogler"
4433,LOWS,medium_airport,Salzburg Airport,47.7933006287,13.0043001175,1411.0,EU,AT,AT-5,Salzburg,yes,LOWS,SZG,,http://www.salzburg-airport.com/,https://en.wikipedia.org/wiki/Salzburg_Airport,
4434,LOWW,large_airport,Vienna International Airport,48.110298,16.5697,600.0,EU,AT,AT-9,Vienna,yes,LOWW,VIE,,http://www.viennaairport.com/en/,https://en.wikipedia.org/wiki/Vienna_International_Airport,
4439,LPAZ,medium_airport,Santa Maria Airport,36.97140121459961,-25.17060089111328,308.0,EU,PT,PT-20,Vila do Porto,yes,LPAZ,SMA,,,https://en.wikipedia.org/wiki/Santa_Maria_Airport,
4440,LPBG,medium_airport,Bragança Airport,41.8578,-6.70713,2241.0,EU,PT,PT-04,Bragança,yes,LPBG,BGC,,,https://en.wikipedia.org/wiki/Bragan%C3%A7a_Airport,
4444,LPCS,medium_airport,Cascais Airport,38.724998,-9.35523,325.0,EU,PT,PT-11,Cascais,yes,LPCS,CAT,,http://aerodromo-cascais.pt/?lang=en,https://en.wikipedia.org/wiki/Cascais_Aerodrome,Tires
4447,LPFL,medium_airport,Flores Airport,39.455299377441406,-31.13139915466309,112.0,EU,PT,PT-20,Santa Cruz das Flores,yes,LPFL,FLW,,,https://en.wikipedia.org/wiki/Flores_Airport,
4448,LPFR,large_airport,Faro Airport,37.0144004822,-7.96590995789,24.0,EU,PT,PT-08,Faro,yes,LPFR,FAO,,http://www.ana.pt/en-US/Aeroportos/algarve/Faro/Pages/HomeFaro.aspx,https://en.wikipedia.org/wiki/Faro_Airport_(Portugal),
4449,LPGR,medium_airport,Graciosa Airport,39.09220123291016,-28.029800415039062,86.0,EU,PT,PT-20,Santa Cruz da Graciosa,yes,LPGR,GRW,,,https://en.wikipedia.org/wiki/Graciosa_Airport,
4450,LPHR,medium_airport,Horta Airport,38.519901275634766,-28.715900421142575,118.0,EU,PT,PT-20,Horta,yes,LPHR,HOR,,,https://en.wikipedia.org/wiki/Horta_Airport,
4451,LPLA,medium_airport,Lajes Airport,38.761799,-27.090799,180.0,EU,PT,PT-20,Praia da Vitória,yes,LPLA,TER,,http://aerogarelajes.azores.gov.pt,https://en.wikipedia.org/wiki/Lajes_Field,Terceira Island
4452,LPMA,large_airport,Madeira International Airport Cristiano Ronaldo,32.697899,-16.7745,192.0,EU,PT,PT-30,Funchal,yes,LPMA,FNC,,http://www.ana.pt/en-US/Aeroportos/Madeira/Funchal/Pages/default.aspx,https://en.wikipedia.org/wiki/Madeira_Airport,"Madeira, Funchal"
